Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 09:59:36:0845002 PM,32.5788,,,,0.0139,0.0201,35.4352,0.0342
2021-12-29 09:59:36:1767723 PM,53.737,,,,0.0137,0.0194,56.7534,0.5152
2021-12-29 09:59:36:2568036 PM,36.7081,,,,0.0184,0.0199,39.734,0.0275
2021-12-29 09:59:36:3189995 PM,32.048,,,,0.0135,0.019,34.5761,1.247
2021-12-29 09:59:36:5056583 PM,149.8741,22.3886,21.8579,56.7105,0.0158,0.0208,152.7388,0.0257
2021-12-29 09:59:36:5842828 PM,37.9093,,,,0.0154,0.0195,41.1075,0.032
2021-12-29 09:59:36:6773633 PM,38.6007,,,,0.0325,0.0412,40.5107,0.0769
2021-12-29 09:59:36:7712906 PM,34.7483,,,,0.0236,0.0211,41.3821,0.0484
2021-12-29 09:59:36:8489324 PM,34.4955,,,,0.0185,0.0194,35.6921,0.0322
2021-12-29 09:59:36:9259388 PM,38.8702,,,,0.0153,0.0313,40.339,0.0483
2021-12-29 09:59:37:0036334 PM,35.1499,,,,0.0202,0.0199,36.3755,0.0305
2021-12-29 09:59:37:0807984 PM,38.1356,,,,0.0152,0.0192,39.3749,0.0284
2021-12-29 09:59:37:1583585 PM,38.7466,,,,0.0171,0.0186,40.1039,0.0338
2021-12-29 09:59:37:2361955 PM,38.948,,,,0.0143,0.0205,40.0858,0.0324
2021-12-29 09:59:37:3006805 PM,34.5278,,,,0.0154,0.0424,35.5159,0.0299
2021-12-29 09:59:37:3756486 PM,38.4936,,,,0.0142,0.0225,39.4229,0.0285
2021-12-29 09:59:37:4822325 PM,35.9973,,,,0.0168,0.0227,69.5796,0.029
2021-12-29 09:59:37:5588125 PM,35.1546,,,,0.0133,0.0184,38.3461,0.0278
2021-12-29 09:59:37:6390032 PM,37.0074,,,,0.0142,0.0222,40.1223,0.0308
2021-12-29 09:59:37:7139838 PM,36.7899,,,,0.0154,0.0188,38.0241,0.0359
