Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:18:2709968 PM,0.7789,33.0994,,,,0.012,0.0181,34.579,0.0029
2022-02-03 11:41:18:3483354 PM,0.7753,33.8419,,,,0.012,0.0715,33.953,0.0223
2022-02-03 11:41:18:4239001 PM,0.938,31.159,,,,0.012,0.0176,32.5373,0.0028
2022-02-03 11:41:18:5009306 PM,2.312,32.541,,,,0.0141,0.0215,32.5762,0.0043
2022-02-03 11:41:18:5768903 PM,2.5884,33.0601,,,,0.0124,0.0201,33.0989,0.0033
2022-02-03 11:41:18:6547467 PM,2.375,32.3529,,,,0.0124,0.0194,32.3953,0.0029
2022-02-03 11:41:18:7183625 PM,2.5193,31.0114,,,,0.0125,0.0173,31.05,0.0031
2022-02-03 11:41:18:7933079 PM,0.9366,32.8911,,,,0.0215,0.0435,34.6892,0.0072
2022-02-03 11:41:18:8563191 PM,0.7078,32.1527,,,,0.0122,0.0184,33.7891,0.0029
2022-02-03 11:41:18:9194155 PM,3.3157,31.8322,,,,0.013,0.0323,31.8774,0.0035
2022-02-03 11:41:18:9976818 PM,2.3918,30.0149,,,,0.0123,0.0184,30.0511,0.0032
2022-02-03 11:41:19:0583058 PM,2.2491,31.2585,,,,0.0132,0.0275,31.3072,0.0045
2022-02-03 11:41:19:1340353 PM,0.8002,35.041,,,,0.0299,0.0217,35.0837,0.0035
2022-02-03 11:41:19:1979242 PM,0.9513,33.5071,,,,0.0125,0.0241,33.5559,0.0023
2022-02-03 11:41:19:2768437 PM,0.823,32.6398,,,,0.0116,0.0196,34.2508,0.0027
2022-02-03 11:41:19:3524664 PM,0.8845,32.7616,,,,0.0123,0.0181,34.3651,0.003
2022-02-03 11:41:19:5229979 PM,2.3339,137.0309,20.3828,19.5832,52.3132,0.0122,0.0189,137.0683,0.0032
2022-02-03 11:41:19:6012617 PM,2.2247,35.5818,,,,0.0125,0.0177,35.6191,0.0032
2022-02-03 11:41:19:6777542 PM,2.447,34.5088,,,,0.0202,0.0195,34.5467,0.0034
2022-02-03 11:41:19:7377261 PM,2.3718,30.8019,,,,0.0128,0.0185,30.8374,0.0028
2022-02-03 11:41:19:8007035 PM,2.1613,30.7191,,,,0.0124,0.0182,30.7598,0.0035
2022-02-03 11:41:19:8780214 PM,2.2703,37.2648,,,,0.0139,0.0183,37.3,0.0035
2022-02-03 11:41:19:9424023 PM,2.2931,30.7767,,,,0.0163,0.0181,30.8136,0.0064
2022-02-03 11:41:20:0029865 PM,2.4156,30.3073,,,,0.0123,0.0199,30.3456,0.0035
2022-02-03 11:41:20:0651655 PM,2.2539,30.0384,,,,0.0127,0.0259,30.0744,0.003
2022-02-03 11:41:20:1262130 PM,0.8351,29.6715,,,,0.0374,0.0202,31.4804,0.0029
2022-02-03 11:41:20:2025670 PM,2.7242,35.8637,,,,0.0138,0.0184,35.9262,0.003
2022-02-03 11:41:20:2662699 PM,2.3757,30.7286,,,,0.0129,0.0315,30.777,0.0053
2022-02-03 11:41:20:3277745 PM,1.1988,32.7341,,,,0.0123,0.0191,32.772,0.0054
2022-02-03 11:41:20:3907887 PM,2.5012,30.305,,,,0.0124,0.019,30.345,0.003
2022-02-03 11:41:20:4679838 PM,2.3531,35.6716,,,,0.0124,0.0181,35.7372,0.0035
2022-02-03 11:41:20:5324282 PM,2.5137,32.5584,,,,0.0137,0.0195,32.5926,0.0029
2022-02-03 11:41:20:5952554 PM,2.3537,34.0688,,,,0.0143,0.0174,34.1038,0.0029
2022-02-03 11:41:20:6714384 PM,0.741,36.9991,,,,0.0129,0.0345,37.0409,0.0031
2022-02-03 11:41:20:7487155 PM,0.7992,33.8175,,,,0.0178,0.019,33.8594,0.0044
2022-02-03 11:41:20:8091201 PM,0.7338,31.8919,,,,0.0114,0.0181,31.9299,0.0029
2022-02-03 11:41:20:8878618 PM,0.9246,37.2938,,,,0.0122,0.0201,37.3307,0.0035
2022-02-03 11:41:20:9655839 PM,0.697,33.05,,,,0.0123,0.0695,33.1292,0.0102
2022-02-03 11:41:21:0285148 PM,0.6577,33.4008,,,,0.0129,0.0177,33.4356,0.0025
2022-02-03 11:41:21:1070517 PM,0.984,34.6752,,,,0.0348,0.0184,34.7147,0.0049
2022-02-03 11:41:21:1837622 PM,0.7729,34.7477,,,,0.0123,0.0299,34.7849,0.0029
2022-02-03 11:41:21:2462315 PM,0.9836,34.8069,,,,0.0136,0.0222,34.8487,0.0037
2022-02-03 11:41:21:3259946 PM,0.8121,36.9472,,,,0.0138,0.0174,36.985,0.0027
2022-02-03 11:41:21:4177649 PM,0.8814,39.6422,,,,0.0143,0.0188,39.6773,0.0029
2022-02-03 11:41:21:4953036 PM,0.954,33.3949,,,,0.0123,0.0176,33.4325,0.0033
2022-02-03 11:41:21:5599844 PM,0.8165,34.8772,,,,0.012,0.0726,34.9617,0.04
2022-02-03 11:41:21:6355567 PM,0.7765,31.0716,,,,0.0118,0.0195,31.1106,0.0035
2022-02-03 11:41:21:7418426 PM,0.7808,69.8368,,,,0.0126,0.025,69.8762,0.0057
2022-02-03 11:41:21:8206466 PM,1.3443,33.0331,,,,0.0157,0.019,35.1466,0.0033
2022-02-03 11:41:21:8808663 PM,0.6438,33.4731,,,,0.0117,0.0236,33.5065,0.0029
2022-02-03 11:41:21:9433449 PM,0.8019,31.4122,,,,0.0145,0.0179,31.4476,0.0028
2022-02-03 11:41:22:0243533 PM,0.7188,38.4204,,,,0.0116,0.0185,38.4601,0.003
2022-02-03 11:41:22:0998467 PM,0.6881,34.7961,,,,0.0259,0.0186,34.83,0.0029
2022-02-03 11:41:22:1621548 PM,0.6835,32.901,,,,0.0128,0.0177,32.9378,0.0032
2022-02-03 11:41:22:2236704 PM,0.6502,32.9678,,,,0.0123,0.0194,33.0057,0.0031
2022-02-03 11:41:22:3036889 PM,0.7291,39.2261,,,,0.0126,0.0232,39.2604,0.0064
2022-02-03 11:41:22:3649541 PM,0.7238,33.8157,,,,0.0135,0.0185,33.8564,0.003
2022-02-03 11:41:22:4435203 PM,0.8046,34.8902,,,,0.0116,0.071,34.9756,0.0099
2022-02-03 11:41:22:5233891 PM,0.7961,33.0185,,,,0.0124,0.0201,34.6693,0.003
2022-02-03 11:41:22:5980816 PM,0.9631,37.1371,,,,0.0117,0.0262,37.2012,0.0055
2022-02-03 11:41:22:6759824 PM,0.7376,35.3801,,,,0.0121,0.0187,35.4195,0.0046
2022-02-03 11:41:22:7557759 PM,0.8437,34.5685,,,,0.0131,0.0174,34.6042,0.0033
2022-02-03 11:41:22:8348058 PM,0.7755,36.0094,,,,0.0137,0.0701,36.0837,0.0107
2022-02-03 11:41:22:9118385 PM,0.8465,35.1957,,,,0.0121,0.0185,35.2342,0.0056
2022-02-03 11:41:22:9884533 PM,0.6561,33.4759,,,,0.0118,0.0178,33.5151,0.003
2022-02-03 11:41:23:0530486 PM,0.7556,31.8066,,,,0.012,0.0213,31.844,0.0028
2022-02-03 11:41:23:1629710 PM,1.043,74.6702,,,,0.0128,0.0254,74.7056,0.0032
2022-02-03 11:41:23:2229149 PM,0.8848,34.0678,,,,0.0123,0.0186,34.1076,0.0038
2022-02-03 11:41:23:2850692 PM,0.9003,33.8311,,,,0.0126,0.0173,33.8635,0.0029
2022-02-03 11:41:23:3632139 PM,1.0378,38.8239,,,,0.0123,0.0178,38.864,0.0027
2022-02-03 11:41:23:4415062 PM,0.9385,38.4383,,,,0.0124,0.0191,38.475,0.003
2022-02-03 11:41:23:5157460 PM,0.7119,43.8288,,,,0.0125,0.0184,43.8651,0.0038
2022-02-03 11:41:23:5924487 PM,0.9336,36.5863,,,,0.0145,0.0189,36.6211,0.0029
2022-02-03 11:41:23:6554755 PM,0.9834,31.9627,,,,0.0122,0.0245,32.0029,0.0033
2022-02-03 11:41:23:7345707 PM,2.8682,36.716,,,,0.0124,0.0417,36.7574,0.0025
2022-02-03 11:41:23:8134616 PM,1.0493,34.987,,,,0.0115,0.0189,35.0214,0.0052
2022-02-03 11:41:23:8898436 PM,0.872,33.4427,,,,0.012,0.0177,33.4781,0.003
2022-02-03 11:41:23:9692648 PM,0.88,41.8423,,,,0.0124,0.018,41.8801,0.0029
2022-02-03 11:41:24:0470712 PM,0.8429,34.2598,,,,0.0132,0.0194,34.3034,0.0094
2022-02-03 11:41:24:1249062 PM,0.8316,43.2815,,,,0.0118,0.0188,43.3171,0.0027
2022-02-03 11:41:24:1902627 PM,0.6483,31.1935,,,,0.013,0.0187,31.2267,0.003
2022-02-03 11:41:24:2651004 PM,0.6671,34.5408,,,,0.0125,0.0207,34.5803,0.0231
2022-02-03 11:41:24:3420507 PM,0.6674,33.5929,,,,0.0117,0.0209,33.6282,0.0034
2022-02-03 11:41:24:4035986 PM,0.7988,32.519,,,,0.0122,0.0181,32.5523,0.0028
2022-02-03 11:41:24:4812675 PM,1.145,33.7582,,,,0.0123,0.0188,33.8098,0.0034
2022-02-03 11:41:24:5424773 PM,0.6614,32.2308,,,,0.0123,0.019,32.2667,0.0034
2022-02-03 11:41:24:6046303 PM,0.8906,31.9861,,,,0.0122,0.018,33.8101,0.0029
2022-02-03 11:41:24:6822904 PM,0.6884,32.2284,,,,0.0116,0.0329,32.2803,0.0071
